"Timestamp","Stimmen Ihre Vorkenntnisse mit der Definition überein?","Wie häufig benutzen Sie Open Source Software?","Browser [Safari]","Browser [Chrome]","Browser [Opera]","Browser [Firefox]","Browser [Chromium]","Betriebssysteme [Windows]","Betriebssysteme [Linux]","Betriebssysteme [iOS]","Betriebssysteme [macOS]","Betriebssysteme [Android]","Webanwendungen [ownCloud / NextCloud]","Webanwendungen [Moodle]","Webanwendungen [Wikipedia]","Desktopanwendungen [VLC]","Desktopanwendungen [Photoshop]","Desktopanwendungen [Microsoft Office]","Desktopanwendungen [LaTeX]","Desktopanwendungen [7-Zip]","Desktopanwendungen [Windows Media Player]","Desktopanwendungen [Thunderbird]","Desktopanwendungen [GIMP]","Desktopanwendungen [Open- / LibreOffice]","Desktopanwendungen [WinRAR]","Computerspiele [World of Warcraft]","Computerspiele [Superhot]","Computerspiele [Firewatch]","Computerspiele [Skyrim]","Computerspiele [Counter-Strike]","Computerspiele [FarCry]","Computerspiele [Subnautica]","Computerspiele [Assassins Creed]","Computerspiele [Portal]","Computerspiele [League of Legends]","Computerspiele [Half Life]","Weshalb benutzen Sie Open Source Software?","Welche sind Ihrer Meinung nach die wichtigsten Gründe für Unternehmen Open Source Software einzusetzen?","Was beschreibt Ihre aktuelle Tätigkeit am ehesten?","Wie würden Sie Ihre Computerkenntnisse einschätzen?"
"2018/02/21 9:42:15 PM GMT+1","Größtenteils","3","","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich;Open Source","","Benutze ich","","","","Benutze ich;Open Source","","Benutze ich","Benutze ich","","","Benutze ich","","","Benutze ich","","","","","","","","","","","","","","","","Kostenlos, nix, nix","Kosteneinsparungen;Unabhängigkeit;Anpassbarkeit","Student","4"
"2018/02/21 9:50:27 PM GMT+1","Ja","1","Benutze ich","Benutze ich","","Benutze ich;Open Source","","Benutze ich","","Benutze ich","Benutze ich","Benutze ich","","Benutze ich;Open Source","Benutze ich;Open Source","","Benutze ich","Benutze ich","","","","","Benutze ich","","Benutze ich","Benutze ich","","","Benutze ich","Benutze ich;Open Source","Benutze ich","","Benutze ich","Benutze ich","Benutze ich","Benutze ich","hilfreich,günstig,einfach","Offene Standards;Kosteneinsparungen;Anpassbarkeit","Arbeitstätig","4"
"2018/02/21 9:51:06 PM GMT+1","Ja","3","","","","Benutze ich","Open Source","Benutze ich","Open Source","","","Benutze ich;Open Source","","Benutze ich","Benutze ich","Benutze ich","","Benutze ich","","Benutze ich","","Benutze ich","","Open Source","Benutze ich","","Open Source","","Benutze ich","Open Source","","","","Open Source","Benutze ich","Open Source","Günstig, sicher, transparent","Community;Sicherheit;Transparenz","Student","6"
"2018/02/21 9:54:34 PM GMT+1","Größtenteils","4","","","","Benutze ich;Open Source","Open Source","Benutze ich","Benutze ich;Open Source","","","Benutze ich","","Benutze ich","Benutze ich;Open Source","Benutze ich","","Benutze ich","","","Benutze ich","Benutze ich;Open Source","Benutze ich;Open Source","","Benutze ich","","","","Benutze ich","Benutze ich","","","","Benutze ich","","","Kostenlos, Sicherheit, Community","Community;Kosteneinsparungen;Sicherheit","Student","5"
"2018/02/21 9:59:27 PM GMT+1","Ja","4","","Benutze ich","Open Source","Benutze ich;Open Source","Open Source","Benutze ich","Open Source","","","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich;Open Source","","Benutze ich","Benutze ich;Open Source","Benutze ich;Open Source","","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich","","","","","","","","","Benutze ich","Benutze ich","","Keine Geheimnisse, Sicherheit, gutes Gefühl","Community;Transparenz;Innovation","Student","6"
"2018/02/21 10:07:34 PM GMT+1","Ja","4","","","Open Source","Benutze ich;Open Source","Open Source","Benutze ich","Open Source","","","Benutze ich","","Benutze ich","Benutze ich;Open Source","Benutze ich","","Benutze ich","Open Source","Benutze ich","Benutze ich","Open Source","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich","","","","Benutze ich","","Benutze ich","","","","","","vertrauen, kosten, verfügbarkeit","Offene Standards;Community;Transparenz","Student","5"
"2018/02/21 10:11:57 PM GMT+1","Größtenteils","4","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich;Open Source","","Benutze ich;Open Source","Open Source","Benutze ich;Open Source","","Benutze ich;Open Source","","Benutze ich","Benutze ich","Benutze ich","Benutze ich","Benutze ich","","Benutze ich;Open Source","Open Source","","Open Source","","Open Source","Benutze ich","","","","","","","","","Benutze ich;Open Source","","Großer Nutzenkreis, viel Hilfestellung im Internet, Verfügbarkeit ","Community;Kosteneinsparungen;Mitarbeitende","Student","4"
"2018/02/22 12:44:47 AM GMT+1","Größtenteils","4","","Benutze ich","Benutze ich","Benutze ich;Open Source","","Benutze ich","Benutze ich;Open Source","","","Benutze ich","","","Benutze ich","","Benutze ich","Benutze ich","","Benutze ich;Open Source","","","","","","","","","Benutze ich;Open Source","Open Source","","","","Benutze ich;Open Source","","Open Source","Anpassbar, Vielseitig, Zeitvertreib","Offene Standards;Anpassbarkeit;Transparenz","Zu alt um es Schüler zu nennen aber rein nach Tätigkeit Schüler","4"
"2018/02/22 6:03:02 AM GMT+1","Ja","3","","","Benutze ich;Open Source","Benutze ich","Open Source","Benutze ich","Benutze ich","","","Benutze ich;Open Source","Benutze ich","","Benutze ich;Open Source","Benutze ich;Open Source","","Benutze ich","","Benutze ich","Benutze ich","","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich","","","","Benutze ich","","","","","Benutze ich","","Benutze ich","vielfältigkeit, kostenlos, offen","Offene Standards;Anpassbarkeit;Mitarbeitende","Schüler","4"
"2018/02/22 7:08:57 AM GMT+1","Ja","1","","Benutze ich","Open Source","Benutze ich","Open Source","Benutze ich","Open Source","","","Benutze ich","Open Source","Benutze ich","Benutze ich;Open Source","","","Benutze ich","","","Benutze ich","","","Open Source","","","","","","","","","","","","","kostenfrei, teilw. besser, ","Community;Kosteneinsparungen;Anpassbarkeit","Student","3"
"2018/02/22 7:09:35 AM GMT+1","Größtenteils","2","","Benutze ich","Open Source","Benutze ich;Open Source","","Benutze ich","Open Source","","","Benutze ich","","Benutze ich","Benutze ich;Open Source","Benutze ich","","Benutze ich","","","Benutze ich","Benutze ich","","Benutze ich;Open Source","Benutze ich","","","","","Benutze ich","","","","","","","Individuell, günstig, ","Kosteneinsparungen;Anpassbarkeit;Innovation","Arbeitstätig","4"
"2018/02/22 7:48:28 AM GMT+1","Teilweise","3","","Benutze ich","Open Source","Open Source","Open Source","Benutze ich","Open Source","","","Benutze ich","","Benutze ich","Benutze ich;Open Source","Benutze ich;Open Source","","Benutze ich","","Benutze ich","","","Open Source","Open Source","Benutze ich","","","","","","","","","","","","kostenfrei, erprobt, einfach","Community;Kosteneinsparungen;Anpassbarkeit","Student","4"
"2018/02/22 7:49:11 AM GMT+1","Größtenteils","4","Benutze ich","Benutze ich","Benutze ich","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich","Benutze ich;Open Source","Benutze ich","Benutze ich","Open Source","Benutze ich;Open Source","","Benutze ich","Benutze ich;Open Source","Benutze ich","","Open Source","Benutze ich","","Benutze ich;Open Source","Open Source","","","","","","","","","","","","","","kostenlos, hilfreich, veränderbar","Offene Standards;Kosteneinsparungen;Transparenz","Arbeitstätig","6"
"2018/02/22 8:05:35 AM GMT+1","Größtenteils","3","Benutze ich","Benutze ich","Open Source","Benutze ich;Open Source","","Benutze ich","Benutze ich;Open Source","Benutze ich","Benutze ich","Open Source","","Benutze ich;Open Source","Benutze ich;Open Source","Open Source","Benutze ich","Benutze ich","Benutze ich;Open Source","Benutze ich","","Open Source","Open Source","Open Source","","","Open Source","","Benutze ich","","","","","Benutze ich;Open Source","Benutze ich","Benutze ich","Günstig, Moral, Verfügbar","Kosteneinsparungen;Unabhängigkeit;Transparenz","Arbeitstätig","5"
"2018/02/22 8:21:59 AM GMT+1","Ja","4","Benutze ich","Benutze ich","Benutze ich","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich","Benutze ich;Open Source","","Benutze ich","Benutze ich;Open Source","Open Source","Open Source","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich","","Benutze ich;Open Source","Benutze ich;Open Source","","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich","","","","","","","","","Benutze ich","","Benutze ich","Sicherer, Besser, Moralischer","Unabhängigkeit;Sicherheit;Transparenz","Arbeitstätig","6"
"2018/02/22 8:29:50 AM GMT+1","Ja","4","Benutze ich;Open Source","","","","","","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich;Open Source","Open Source","","","Benutze ich;Open Source","","","","","","","","","","","","","","","","","","","","","","keine alternative, sicherer, praktisch","Offene Standards;Community;Sicherheit","Arbeitstätig","6"
"2018/02/22 8:31:12 AM GMT+1","Größtenteils","4","Benutze ich","","","Benutze ich;Open Source","","Benutze ich","","Benutze ich","Benutze ich","","","Benutze ich;Open Source","Benutze ich;Open Source","","","","Benutze ich;Open Source","Benutze ich;Open Source","","","Benutze ich;Open Source","Benutze ich;Open Source","","","","","","","","","","","","","kostenlos, Gewohnheit, gut","Kosteneinsparungen;Transparenz;Innovation","Student","5"
"2018/02/22 8:31:46 AM GMT+1","Ja","1","Benutze ich","Benutze ich","","Benutze ich","Open Source","Benutze ich","","Benutze ich","","Open Source","","Benutze ich","Benutze ich","","","Benutze ich","","Benutze ich","","","Open Source","","","","","","","","","","","","","","Benutze, ich nicht, wissentlich","Anpassbarkeit;Transparenz;Innovation","Arbeitstätig","3"
"2018/02/22 8:41:25 AM GMT+1","Ja","3","Benutze ich","Benutze ich","","Benutze ich","Open Source","Benutze ich","Benutze ich;Open Source","Benutze ich","Benutze ich","Open Source","Benutze ich;Open Source","Benutze ich","Benutze ich","Benutze ich","","Benutze ich","Benutze ich;Open Source","","","","","","Benutze ich","","","","","","","","","","","","""Sicher, unabhängig, Community""","Unabhängigkeit;Anpassbarkeit;Transparenz","Arbeitstätig","5"
"2018/02/22 8:47:17 AM GMT+1","Ja","4","Benutze ich;Open Source","Benutze ich;Open Source","Open Source","Open Source","Open Source","Benutze ich;Open Source","Open Source","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich;Open Source","Open Source","Open Source","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich","Benutze ich","Open Source","","","Open Source","Open Source","Open Source","","","","","","","","","","","","","Schnellere Sofwareentwicklung, SIcherheit, Kontrolle","Kosteneinsparungen;Stabilität;Mitarbeitende","Arbeitstätig","6"
